时间段,阶段主题,月份,周次,学习内容,每日建议
2026年7月-9月​,JS基础补强​,7月,第1周,var/let/const区别、作用域链,下班后1h，周末2-3h
,,,第2周,闭包定义、应用场景（防抖节流）、内存泄漏,同上
,,,第3周,this指向（默认、隐式、显式、new、箭头函数）,同上
,,,第4周,call/apply/bind手写实现,同上
,,8月,第1周,回调地狱、Promise三种状态、链式调用,同上
,,,第2周,async/await、try/catch错误处理,同上
,,,第3周,事件循环（宏任务、微任务、执行顺序）,同上
,,,第4周,手写简易Promise,同上
,,9月,第1周,map/filter/reduce/find手写实现,同上
,,,第2周,原型与原型链、继承几种方式,同上
,,,第3周,解构赋值、模板字符串、Set/Map、Symbol,同上
,,,第4周,综合复习，找一套JS面试题自测,同上
2026年10月-12月​,Vue原理+项目重构​,10月,第1周,Object.defineProperty、发布订阅模式,同上
,,,第2周,Vue2数据劫持、依赖收集、派发更新,同上
,,,第3周,Vue2问题（数组监听、新增属性）,同上
,,,第4周,对比Vue3的Proxy实现,同上
,,11月,第1周,ref/reactive/computed/watch,同上
,,,第2周,setup语法糖、生命周期变化,同上
,,,第3周,选一个旧PC项目，用Vue3重写,同上
,,,第4周,继续重写，梳理数据流和组件通信,同上
,,12月,第1周,虚拟DOM概念、创建过程,同上
,,,第2周,diff算法核心逻辑（同层比较、key作用）,同上
,,,第3周,nextTick原理与应用场景,同上
,,,第4周,项目重写收尾，整理成简历项目描述,同上
2027年1月-3月​,TypeScript+工程化​,1月,第1周,TS基础类型、接口、类型别名,同上
,,,第2周,泛型（函数泛型、接口泛型、约束）,同上
,,,第3周,联合类型、交叉类型、类型守卫,同上
,,,第4周,把重写的Vue3项目用TS重写一遍,同上
,,2月,第1周,Webpack entry/output/loader/plugin,同上
,,,第2周,常用loader（babel/css/ts-loader）,同上
,,,第3周,常用plugin（HtmlWebpack/MiniCss）,同上
,,,第4周,Vite入门，对比Webpack区别,同上
,,3月,第1周,Git分支管理、rebase、merge冲突,同上
,,,第2周,前端性能优化（首屏、懒加载、图片）,同上
,,,第3周,整理项目性能优化点成文档,同上
,,,第4周,综合复习TS和工程化，做面试题,同上
2027年4月-6月​,面试冲刺​,4月,第1周,LeetCode热题100（数组、字符串、链表）,同上
,,,第2周,LeetCode热题100（二叉树、动态规划入门）,同上
,,,第3周,修改简历，突出项目亮点和技术难点,同上
,,,第4周,整理面试高频题（JS/Vue/TS/工程化）,同上
,,5月,第1周,找朋友或网上mock面试，练表达,同上
,,,第2周,Boss直聘投上海公司，先投中小厂练手,同上
,,,第3周,总结面试失败原因，查漏补缺,同上
,,,第4周,继续投递，争取进入面试流程,同上
,,6月,第1周,继续投递，增加面试频率,同上
,,,第2周,复盘每场面试，记录没答上来的问题,同上
,,,第3周,补漏，强化薄弱环节,同上
,,,第4周,争取拿到offer，确定入职时间,同上
2027年7月​,出发上海​,7月,整月,拿到offer入职，或直接去上海现场找,—
